,Unnamed: 0,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle,infraction
0,0,RouteScenario_0,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,187.950002800673,1660.35073304176,141.421350842513,100.0,1.0,100.0,vehicle.bmw.isetta,False
1,1,RouteScenario_1,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.20000270009,1588.04807972908,141.421356574484,100.0,1.0,100.0,vehicle.bmw.isetta,False
2,2,RouteScenario_2,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.20000270009,1592.68943953514,141.421356574484,100.0,1.0,100.0,vehicle.bmw.isetta,False
3,3,RouteScenario_3,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,224.550003346056,2156.28169393539,141.421350842513,100.0,1.0,100.0,vehicle.bmw.isetta,False
4,4,RouteScenario_4,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0500014014542,772.137565612793,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
5,5,RouteScenario_5,Failed - Agent timed out,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,8078.90321087837,141.42135623731,62.7465633230238,1.0,62.7465633230238,vehicle.bmw.isetta,False
6,6,RouteScenario_6,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0500014014542,774.992455005646,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
7,7,RouteScenario_7,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,178.500002659857,1582.37475967407,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
8,8,RouteScenario_8,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,178.500002659857,1582.31532716751,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
9,9,RouteScenario_9,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,110.900001652539,1106.47737526894,141.421361632106,100.0,1.0,100.0,vehicle.bmw.isetta,False
10,10,RouteScenario_10,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,471.600007027388,4577.01685523987,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
11,11,RouteScenario_11,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,180.70000269264,1745.42141628265,141.421353539911,100.0,1.0,100.0,vehicle.bmw.isetta,False
12,12,RouteScenario_12,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,320.800004780292,3012.88012838364,141.421357586009,100.0,1.0,100.0,vehicle.bmw.isetta,False
13,13,RouteScenario_13,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,365.900005452335,3539.89813780785,141.42135488861,100.0,1.0,100.0,vehicle.bmw.isetta,False
14,14,RouteScenario_14,Failed - Agent timed out,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,602.050008971244,5937.83797287941,141.42135488861,93.2353321384609,1.0,93.2353321384609,vehicle.bmw.isetta,False
15,15,RouteScenario_15,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,136.950002040714,1345.10847306252,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
16,16,RouteScenario_16,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,286.000004261732,2615.28015422821,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
17,17,RouteScenario_17,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,187.700002796948,1849.96025300026,141.42135623731,100.0,1.0,100.0,vehicle.bmw.isetta,False
18,18,RouteScenario_18,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,255.100003801286,2430.10264277458,141.421355900135,100.0,1.0,100.0,vehicle.bmw.isetta,False
19,19,RouteScenario_19,Failed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,474.350007068366,4378.71338176727,141.421357586009,64.8028250612893,0.7,92.5754643732704,vehicle.bmw.isetta,red_light
20,20,RouteScenario_20,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,208.700003109872,2042.97308897972,141.421357586009,100.0,1.0,100.0,vehicle.bmw.isetta,False
21,21,RouteScenario_21,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,266.750003974885,2496.5565726757,141.42135488861,100.0,1.0,100.0,vehicle.bmw.isetta,False
22,22,RouteScenario_22,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,534.500007964671,4940.41715073586,141.421357586009,100.0,1.0,100.0,vehicle.bmw.isetta,False
23,0,RouteScenario_0,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,270.400004029274,2396.07055282593,141.421350842513,100.0,1.0,100.0,vehicle.bmw.isetta,False
24,1,RouteScenario_1,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,136.050002027303,1189.69281864166,141.421356574484,100.0,1.0,100.0,vehicle.bmw.isetta,False
25,2,RouteScenario_2,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135.950002025813,1189.42955374718,141.421356574484,100.0,1.0,100.0,vehicle.bmw.isetta,False
26,3,RouteScenario_3,Completed,20,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,225.250003356487,2100.03942298889,141.421350842513,100.0,1.0,100.0,vehicle.bmw.isetta,False
